Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Ontwerp Links van Laurence2804.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
238a621f-d243-43b5-a452-05d46a2b994f2862.pdf;N\:programmatuur\programeren\DevOps;;;;;programmatuur;programeren;DevOps;;Bezigheid;programmeren;;;;
github-git-cheat-sheet2863.pdf;N\:programmatuur\programeren\Github;;;;;programmatuur;programeren;Github;;Bezigheid;programmeren;;;;
express2864.txt;N\:programmatuur\programeren\JavaScript;;;;;programmatuur;programeren;JavaScript;;Bezigheid;programmeren;;;;
httpwww\.json2865.pdf;N\:programmatuur\programeren\JavaScript;;;;;programmatuur;programeren;JavaScript;;Bezigheid;programmeren;;;;
Javascript en objecten2866.txt;N\:programmatuur\programeren\JavaScript;;;;;programmatuur;programeren;JavaScript;;Bezigheid;programmeren;;;;
HTMLplus PHP basic2867.txt;N\:programmatuur\programeren\PHP;;;;;programmatuur;programeren;PHP;;Bezigheid;programmeren;;;;
FACTUUR\_25001476-1-314..PDF;;Uw nota voor uw VOLKSWAGEN met het kenteken P-682-FJ;info\@garagerietman.nl;2026-01-08 11:01:05;info\@garagerietman.nl;;;;;;;;;;Factuur
Hofman200912142831.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Aansprakelijkheidsverzekering\_Particulier\_overzicht\_wijzigingen-90..pdf;;Nota en overzicht van uw verzekeringen;unive.oost\@unive.nl;2026-05-08 18:47:47;unive.oost\@unive.nl;;;;;;;;;;Factuur
c02022309[1] Maintenance and Service   Guide Elitebook 85400078.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
c020312790079.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
c02208909[1] HP Elitebook User   Guide0080.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
c02457902[1] HP EliteBook User Guide   Windows 70081.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
c03234633 HP Support Center Getting   Started Guide0082.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
c03235429 HP Support Center Contracts and   Warranties Getting Started Guide0083.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;Overeenkomst
Draaiboek0084.doc;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;Boek
PTF\_datasheet\_Jul08.hires0102.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
QuickLook20103.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
Quickspecs HP EliteBook 8540w Mobile   Workstation0104.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
sprint-broadband-hp-connection-manager-download[1]0105.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
TPM 2 inschakelen op uw pc0106.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
VAIO Programs0107.doc;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
Vervangen hard schijf door SSD0108.txt;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
W P B S notebook features van HP0109.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
Windows 11 en Secure Boot0110.pdf;N\:apparatuur\computer\HP Elitebook 8540w;;;;;apparatuur;computer;HP Elitebook 8540w;;Bezigheid;computer;;;;
Aankoopbon Mediamarkt Laptop Samsung   Galaxy book3 3600111.pdf;N\:apparatuur\computer\Samsung Galaxy Book3 360;;;;;apparatuur;computer;Samsung Galaxy Book3 360;;Bezigheid;computer;;;;
JVisio licentiesleutel(s)0112.txt;N\:apparatuur\computer\Samsung Galaxy Book3 360;;;;;apparatuur;computer;Samsung Galaxy Book3 360;;Bezigheid;computer;;;;
OntvangAAnkoopofactuur Samsung Galaxy   book3 3600113.pdf;N\:apparatuur\computer\Samsung Galaxy Book3 360;;;;;apparatuur;computer;Samsung Galaxy Book3 360;;Bezigheid;computer;;;;Factuur
CONFIG0114.TXT;N\:apparatuur\computer\TulipDS90;;;;;apparatuur;computer;TulipDS90;;Bezigheid;computer;;;;
Gegevens0115.txt;N\:apparatuur\computer\VAIO;;;;;apparatuur;computer;VAIO;;Bezigheid;computer;;;;
GRT800\_H\_NL0116.pdf;N\:apparatuur\computer\VAIO;;;;;apparatuur;computer;VAIO;;Bezigheid;computer;;;;
GRT800\_S\_NL0117.pdf;N\:apparatuur\computer\VAIO;;;;;apparatuur;computer;VAIO;;Bezigheid;computer;;;;
HQebm setting VAIO wireless   interface0118.doc;N\:apparatuur\computer\VAIO;;;;;apparatuur;computer;VAIO;;Bezigheid;computer;;;;
Vaio E-mail instellingen0119.doc;N\:apparatuur\computer\VAIO;;;;;apparatuur;computer;VAIO;;Bezigheid;computer;;;;E-mail
ORDERACK\_NL\_HSB\_BSDT\_252223249\_2007-12-130120.pdf;N\:apparatuur\computer\Vostro1000;;;;;apparatuur;computer;Vostro1000;;Bezigheid;computer;;;;
huskylock-460d-460ed-FR-NL0121.pdf;N\:apparatuur\Naaimachine;;;;;apparatuur;Naaimachine;;;Bezigheid;apparatuur;;;;
20110603manualfritzboxfonwlan73900122.pdf;N\:apparatuur\netwerk\FritzBox 7390;;;;;apparatuur;netwerk;FritzBox 7390;;Bezigheid;netwerk;;;;
FritzBox0123.docx;N\:apparatuur\netwerk\FritzBox 7390;;;;;apparatuur;netwerk;FritzBox 7390;;Bezigheid;netwerk;;;;
Configuratie fritzbox 75810124.pdf;N\:apparatuur\netwerk\Fritzbox 7581;;;;;apparatuur;netwerk;Fritzbox 7581;;Bezigheid;netwerk;;;;
fritzbox-7581\_man\_nl\_NL (1)0125.pdf;N\:apparatuur\netwerk\Fritzbox 7581;;;;;apparatuur;netwerk;Fritzbox 7581;;Bezigheid;netwerk;;;;
fritzbox-7590\_man\_nl\_NL0126.pdf;N\:apparatuur\netwerk\Fritzbox 7590;;;;;apparatuur;netwerk;Fritzbox 7590;;Bezigheid;netwerk;;;;
FRITZ!Box Fon WLAN 73400127.pdf;N\:apparatuur\netwerk\FrtizBox 7340;;;;;apparatuur;netwerk;FrtizBox 7340;;Bezigheid;netwerk;;;;
fritzbox-v1 0 Instellingen door   Geert0128.pdf;N\:apparatuur\netwerk\FrtizBox 7340;;;;;apparatuur;netwerk;FrtizBox 7340;;Bezigheid;netwerk;;;;
support\_FRITZ.Box\_Fon\_WLAN\_7340\_99.04.86i\_31.01.11\_09140129.txt;N\:apparatuur\netwerk\FrtizBox 7340;;;;;apparatuur;netwerk;FrtizBox 7340;;Bezigheid;netwerk;;;;
link0130.txt;N\:apparatuur\printer\Officejet 7780;;;;;apparatuur;printer;Officejet 7780;;Bezigheid;printer;;;;
Userguide0131.pdf;N\:apparatuur\printer\Officejet 7780;;;;;apparatuur;printer;Officejet 7780;;Bezigheid;printer;;;;
Ontvangstbevestiging -   2025110913349-510..pdf;;Ontvangstbevestiging - 2025110913349;ANWB HV Administratie;2025-11-10 07:00:01;hvadministratie\@financeservices.anwb.nl;;;;;;;;;;Bevestiging
Je pakket is bezorgd.-189..eml;;Re: Order 172-4103908 confirmed;Riet Geurts;2026-03-13 17:15:33;riet.geurts\@outlook.com;;;;;;;;;;
Maandelijks Energierapport   oktober-526..pdf;;Meer of minder verbruikt in oktober?;Eneco;2025-11-07 14:11:23;maandoverzicht\@eneco.com;;;;;;;;;;Rapport
Digitale tijdschakelklop  gebruiksaanwijzing1692.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
Informatie1693.docx;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
Factuur\_26192319-296..pdf;;Uw factuur 26192319;Electro Breukers BV;2026-01-20 09:53:25;administratie\@electrobreukers.nl;;;;;;;;;;Factuur
PHP zoeken formulier2868.txt;N\:programmatuur\programeren\PHP;;;;;programmatuur;programeren;PHP;;Bezigheid;programmeren;;;;
UML 2p5p1formal-17-12-052869.pdf;N\:programmatuur\programeren\UML;;;;;programmatuur;programeren;UML;;Bezigheid;programmeren;;;;
VisioUML2.2Tips2870.pdf;N\:programmatuur\programeren\UML;;;;;programmatuur;programeren;UML;;Bezigheid;programmeren;;;;
herinstallatieplan win72871.docx;N\:programmatuur\programeren\Windows 10;;;;;programmatuur;programeren;Windows 10;;Bezigheid;programmeren;;;;
Factuur-3158932552 020520242876.pdf;N\:vervoer\Flixbus;;;;;vervoer;Flixbus;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;Factuur
Maandelijks Energierapport   december-315..pdf;;Meer of minder verbruikt in december?;Eneco;2026-01-07 13:31:23;maandoverzicht\@eneco.com;;;;;;;;;;Rapport
Ticket-Lille-Utrecht-3158932552   040520242877.pdf;N\:vervoer\Flixbus;;;;;vervoer;Flixbus;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;
NS brief doorlopend abonnement   5-05-20172878.pdf;N\:vervoer\openbaarvervoerder;;;;;vervoer;openbaarvervoerder;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;Brief
NS brief in en uitchecken betaalpas   070220232879.pdf;N\:vervoer\openbaarvervoerder;;;;;vervoer;openbaarvervoerder;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;Brief
OV chipkaart  mislukte incasso 28-3-20172880.pdf;N\:vervoer\openbaarvervoerder;;;;;vervoer;openbaarvervoerder;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;
OV chipkaart  ov chipkaart verloop 29-1-20182881.pdf;N\:vervoer\openbaarvervoerder;;;;;vervoer;openbaarvervoerder;;;"Geval; Bezigheid";vervoer;Dienstverlener;;;
2022-XXXX\_Twente-Milieu\_-Afvalkalender-Haaksbergen-12-12\_GFT2882.pdf;N\:voorziening\afval;;;;;voorziening;afval;;;Geval;;Voorziening;afval;;
2022-XXXX\_Twente-Milieu\_-Afvalkalender-Haaksbergen-12-12\_Papier   (1)2883.pdf;N\:voorziening\afval;;;;;voorziening;afval;;;Geval;;Voorziening;afval;;
2022-XXXX\_Twente-Milieu\_-Afvalkalender-Haaksbergen-12-12\_Restafval2884.pdf;N\:voorziening\afval;;;;;voorziening;afval;;;Geval;;Voorziening;afval;;
Actoren en personen2792.doc;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Archief DH\_Achterkantv012793.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
CRC DH\_Achterkant2794.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P42947.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P52948.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstrook 2020 3 theo2949.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;"Geval; Bezigheid";loonstrook;Werkgever;Vendingland;;Loonstrook
Nieuwe website tekstVendingland deel   22950.docx;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;
Nieuwe website tekstVendingland2951.docx;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;
Boels factuur \~Hi8BFD2957.pdf;N\:winkel\bouwmarkt;;;;;winkel;bouwmarkt;;;Geval;;Winkel;bouwmarkt;;Factuur
Bon bisonkit voor goodsteentegel2958.pdf;N\:winkel\bouwmarkt;;;;;winkel;bouwmarkt;;;Geval;;Winkel;bouwmarkt;;
factuur BMN 200920182959.pdf;N\:winkel\bouwmarkt;;;;;winkel;bouwmarkt;;;Geval;;Winkel;bouwmarkt;;Factuur
Factuur BMN 2018-10-192960.pdf;N\:winkel\bouwmarkt;;;;;winkel;bouwmarkt;;;Geval;;Winkel;bouwmarkt;;Factuur
Bijlage Energierapport maart-167..pdf;;Je verbruiksgegevens;Eneco;2026-04-07 13:36:08;Eneco\_noreply\@eneco.com;;;;;;;;;;Rapport
FACTUUR\_25001476-428..PDF;;Uw nota voor uw VOLKSWAGEN met het kenteken P-682-FJ;info\@garagerietman.nl;2025-12-04 14:40:02;info\@garagerietman.nl;;;;;;;;;;Factuur
2022-09-01\_-\_Dalis\_-\_Vereinbarung\_eines\_Termins1173.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-01\_-\_Geert\_-\_Vereinbarung\_eines\_Termins1174.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-01\_-\_Judith\_-\_Vereinbarung\_eines\_Termins1175.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-01\_-\_Vereinbarung\_eines\_Termins1176.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05T1328\_-\_Geert\_-\_Vereinbarung\_eines\_Termins1177.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05T1328\_Steuererklaerung-20201178.zip;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05T1328\_Steuererklaerung-20211179.zip;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05T1328\_Steuererklaerung-20221180.zip;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_-\_Geert\_-\_Vereinbarung\_eines\_Termins1181.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_-\_Judith\_-\_Vereinbarung\_eines\_Termins1182.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_Documents\_-\_Frau\_Rhein1183.zip;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_Mediationsvertrag1184.doc;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_Mediationsvertrag1185.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-05\_QR\_Rechnung1186.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-07T1330\_-\_Judith\_-\_Vereinbarung\_eines\_Termins1187.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-08T1023\_-\_Kurzprotokoll1188.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-08T1024\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_71189.docx;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-08T1024\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_71190.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-09T2330\_-\_Dalis\_-\_Liquidität1191.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara 2 Days to 2   Days\* Weekend to Weekend V21192.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara 3 Days to 3   Days Sunday to Sunday V21193.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara Day to Day   V21194.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara Day to Day   Weekend to Weekend V21195.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara Week to Week   V21196.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-19 - Betreuung Sara Week to Week   Weekend to Weekend V21197.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-23T1714\_-\_Judith\_-\_Liquidität1198.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-23T1714\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_22.9.1199.docx;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-23T1714\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_22.9.1200.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-26T1036\_-\_Judith\_-\_Kurzprotokoll1201.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-26T1036\_-\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_22.9.1202.docx;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-26T1036\_-\_Kurzprotokoll\_der\_Mediationssitzung\_vom\_22.9.1203.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-26T1443\_-\_Dalis\_-\_Kurzprotokoll1204.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-26T1506\_-\_Judith\_-\_Kurzprotokoll1205.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-28T2300\_-\_Geert\_-\_Kurzprotokoll1206.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-30T1421\_-\_Judith\_-\_Kurzprotokoll1207.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-30T1501-\_Judith\_-\_Kurzprotokoll1208.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-30T1543\_-\_Geert\_-\_Kurzprotokoll1209.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-30T1544\_.\_Judith\_-\_Kurzprotokoll1210.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-09-30\_T1501\_-\_Geert\_-\_Kurzprotokoll1211.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-04T1124\_-\_Rechnung\_#250-221212.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-04T1124\_-\_Zwischenabrechnung1213.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-06T1708\_-\_Dalis\_-\_Mediation\_05.10.221214.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-26T1309\_-\_Geert\_-\_Mediation\_05.10.221215.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-26T1709\_-\_Judith\_-\_Mediation\_05.10.221216.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-10-26T2254\_-\_Geert\_-\_Mediation\_05.10.221217.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-01\_Scheidungskonvention   Dalis-Geert V0.11218.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-02T0940\_-\_Geert\_-\_Mediation\_05.10.221219.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-02T0940\_Scheidungskonvention\_Dalis-Geert\_V0.11220.odt;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-07T0941\_-\_Judith\_-\_keeping\_the\_agreements1227.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-07T2136\_-\_Dalis\_-\_keeping\_the\_agreements1228.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-08T1107\_-\_Judith\_-\_keeping\_the\_agreements1229.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-09T1201\_-\_Dalis\_-\_keeping\_the\_agreements1230.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-09T1413\_-\_Geert\_-\_(no\_subject)1231.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-10T0839\_-\_Judith\_-\_keeping\_the\_agreements1232.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-10T2308\_-\_Dalis\_-\_Answer\_on\_mail\_from\_09.111233.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
2022-11-10T2308\_Wechselmodell\_-\_61-39\_1234.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-10T2308\_Wechselmodell\_-\_64-36\_1235.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-10T2325\_-\_Geert\_-\_Answer\_on\_mail\_from\_09.111236.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
2022-11-11T0917\_-\_Judith\_-\_Answer\_on\_mail\_from\_09.111237.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
2022-11-11T1216\_-\_Geert\_-\_Fruhere\_Termin1238.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;
2022-11-11T1222\_-\_Geert\_-\_Answer\_on\_mail\_from\_09.111239.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
2022-11-11T1311\_-\_Judith\_-\_Answer\_on\_mail\_from\_09.111240.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
2022-11-11T1458\_-\_Dalis\_-\_Answer\_on\_mail\_from\_09.111241.pdf;N\:gezin\Geert en Dalis\Geert\scheiding;;;;;gezin;Geert en Dalis;Geert;scheiding;Kwestie;;;;gezin;E-mail
Ten Hage Factuur-F2023-0019   010220232513.pdf;N\:leverancier\schilder\S68;;;;;leverancier;schilder;S68;;"Geval; Bezigheid";huis;Onderhoudsbedrijf;S68;;Factuur
Ten Hage schilderwerk 2022\_00155   Offerte2514.pdf;N\:leverancier\schilder\S68;;;;;leverancier;schilder;S68;;"Geval; Bezigheid";huis;Onderhoudsbedrijf;S68;;Offerte
Ten Hagen 2022\_00155 Factuur2515.pdf;N\:leverancier\schilder\S68;;;;;leverancier;schilder;S68;;"Geval; Bezigheid";huis;Onderhoudsbedrijf;S68;;Factuur
Ten Hagen 23106610 20042023   Factuur2516.pdf;N\:leverancier\schilder\S68;;;;;leverancier;schilder;S68;;"Geval; Bezigheid";huis;Onderhoudsbedrijf;S68;;Factuur
Ten Hagen   Offerte\_2201002292-Geurts2517.pdf;N\:leverancier\schilder\S68;;;;;leverancier;schilder;S68;;"Geval; Bezigheid";huis;Onderhoudsbedrijf;S68;;Offerte
